content,sentimen
Bagus,2
Dana mmg keren mantap.,2
Saya ngajuin upgrade dana premium krna ktp saya buram jdi ga bisa verifikasi..trus coba lewat email di suruh nunggu 3 hri .ini udh 3 hri lebih msih gitu² doang saldo sya d dana jdi ga bisa d apa²in.. gmna ini solusi nya,0
Kocak mana diskon nya ml malah eror segala kaga ikhlas ngasih diskon nya,0
Saldo hilang karena no lama Hilang ganti no saldonya gk ada sama sekali dana tidak bertanggung jawab Buktinya saldo saya gk ada !!! Saldo lama saya 1800.000,0
mayan,2
Udah gua hapus dana ya. ilang ya udah 1 juta lebih duwit gua.mf dana sayah buka orang kaya itu uang keringat sayah uang halal,0
baik,2
"TOLONG UNTUK SISTEM KEAMANAN DI PERBAIKI. KALAU 1 ATAU 2 ORNG YG KE HACK WAJAR, MUNGKIN KETELEDORAN PENGGUNA. TAPI KALAU SUDAH BANYAK YG TERKENA HACK. BERARTI ADA YG SALAH DENGAN SISTEM KEAMANAN DANA",1
mempermudah transfer,2
baru yobain semoga aman sentosa tidak pembobolan apk sebelah,1
kok gx bisa keridit,0
sangat puas,2
sangat memuaskan,2
ookeeee,2
Hati hati dengan aplikasi ini,2
Mohon maaf ini knpa jadi gk bisa jual emas nya..knpa bacaan nya tejadi kesalahan Mulu coba lagi...berulang ulang lagi itu.udh 1 Minggu saya coba tetep gk bisa...bagai mna ini...sudah jadi semakin jelek ini apk dana skrng gk kyk Tahun. Tahun lalu,0
"akun saya di nomor lama di bekukan, di pindah akun premium saldo tidak otomatis masuk ke akun baru, jelas2 sudah data saya.. Saldo 15jt hangus tertinggal di akun yang tidak bisa di akses dan tidak bisa di pindahkan uangnya. Hubungi SC bilangnya di tindak Seharusnya penanganan langsung bisa di proses Aplikasi asuuu rumit sekali.. Lama2 di hapus playsote #DANA",0
sangat baik,2
bgus bbget,0
fast,2
"Kembalikan uang Rp 27.000 saya. Hanya gara"" KTP kabur sampe gak bisa upgrade, padahal nomor KTP jelas Saya jadi gak bisa transaksi. Kalau online pakai nomor KTP saja bisa terbuka identitas saya. Kembalikan saja uang saya, itu bukan uang nenek moyang kalian biarpun sedikit",0
mohon dipertahankan kernirjanya,0
Aplikasi taiiiiiii upgrade ke premium terlalu lama sehingga saldo gak bisa terpakai,1
Saldo Saya tiba tiba hilang sendiri ga aman naroh di dana,1
Susahh bgt buat masuk aja masak dh pakai 3nomer masih aja gk bisa,1
Kenapa kode verivikasi saya tidak pernah kekirim padahal saya sudah memencet mengirim kode otp ke watshap tapi kode otp tidak pernah muncul,0
Cukup,2
biar 🌟 yg bicara,1
mantapppppp,2
Mau upgrade ke premium malah di persulit. Padahal udh ga burem masih aja burem hasil foto. Kmrn sempat berhasil tapi pas coba kirim dana malah suruh upgrade lagi. Bikin capek aja. Untung ga ngirim dalam jumlah banyak kmrn jadinya ga rugi2 bgt,0
mntap,2
apk yg bagus,2
Tidak bisa log in...,0
Aplikasi yang sangat membantu,2
sangat membantu,2
Mohon dibantu ya kak... Q gk bisa upgrade ke dana premium... Sdh dicoba berkali²...,1
Ini kenapa saldo saya semua habis padahal tidak di pakai ! Dan ada riwayat ke buka lapak..?? Punya apk nya juga ngga !,0
Kenapa tidak bisa di update apk nya?,0
mantap,2
Aplikasi perampok,0
Top up ndak masuk masuk,1
Saya sangat senang sekali aplikasi dana ini membantu sekali masalah saya .saya kasih bitang 5,2
"Masih ada duit di akun dana , dikarenakan nomor hp telah hilang tidak dapat login , selalu meminta verivikasi kode otp , mohon lah untuk pengguna dana yang kejadian sama seperti saya , di proses cepat lah , ini respon admin nya buruk banget ; disuruh nunggu dia hari, tapi sampe sekarang udah dua Minggu belum ada juga kembali uang saya ke akun tersebut, dan katanya akan di alihkan saldo ke dana baru dan saya juga sudah konfirmasi, mohon lah segera konfirmasi , saya sudah mengajukan semua prosedur",0
Bos kenapa dana saya GK bisa masuk. Akun anda sedang di prokesik,1
good jobs,0
Mantap,2
Dreaper,0
Pagi ini saya pun baru kehilqngan saldo sebesar 790.000 Entah apa boleh kah lebih aman lagi selama nih saya nyam an pakenapk nya baru hari nih kejadian seperti nih mungkin itu tak seberapa tapi jadi waswas untuk simpan saldo besar2 di dana mulai sekarang,0
Saya kasih bintang 2 karna dana nya rusak saya sudah top up dana tapi tetep ga ada nominal gimana ya ini mau tipu apa gmna,0
sangat bagus,2
"apkikasinya bisa nipu kcewa saya pake dana,ktanya dpt casbck nyatanya mlah ga bisa di ambil,buat pengguna dana jngn percaya sma event dana,penipuan.",0
sangat bagus,2
mantap,2
mantap,2
"aplikasinya ko ga bisa dibuka ya padahal sandi sama nomor sudah betul, jaringan pun bagus",2
Apa ini sekarang dana gak jls akun saya gak bisa masuk sama sekali verifikasi terus jelas2 akun saya nomer juga aktif,1
apk nya jelek aku udah download kok nggak ada saldonya sihh,0
